state,district_name,odop_product_name,odop_gi_tag,min_setup_cost,max_setup_cost,gross_margin_d2c,breakeven_timeline,opportunity_score,why_this_district,page_slug
Uttar Pradesh,Banda,Shazar Stone Craft,No,150000,500000,50-65%,10-16 months,8,"Banda is the sole Indian district where Shazar stones are crafted into high-value artifacts. The Ken River — only river in UP and second in India producing colorful patterned stones — provides the raw material. A concentrated cluster of skilled artisans inherited 400-year-old techniques from Arab discovery, making this a zero-replication competitive advantage.",shazar-stone-craft-banda
Uttar Pradesh,Barabanki,Handloom Products and Textile Products,No,150000,2500000,50-65%,10-18 months,8,"Barabanki sits on a 400-year-old weaving tradition with cotton yarn sourcing within 50 km. The 20,000-loom cluster concentrated in Barabanki town provides ready artisan partnerships and shared infrastructure. Proximity to Delhi-Lucknow highway enables direct access to metro retail and export hubs.",handloom-products-and-textile-products-barabanki
Uttar Pradesh,Bareilly,Zari and Zardozi,No,150000,500000,60-75%,10-16 months,4,"Bareilly has a 300+ year legacy of Zari and Zardozi craftsmanship dating to the Mughal era, with a concentrated artisan base of skilled workers trained in traditional embroidery techniques. Raw materials like gold and silver threads, beads, and sequins are sourced directly from China and domestic suppliers, with established supply chains. The district connects to major wedding and ceremonial apparel markets across North India and has documented export channels to Israel and international buyers.",zari-and-zardozi-bareilly
Uttar Pradesh,Basti,Wooden Crafts,No,150000,1500000,60-75%,10-16 months,,"Basti has a deep-rooted tradition of wooden craft heritage spanning generations, with abundant access to quality Sheesham wood from local forests and nearby regions. The district's skilled artisan community possesses specialized knowledge in intricate carving and joinery techniques passed down through families, making it naturally suited for premium wooden product manufacturing.",wooden-crafts-basti
Uttar Pradesh,Bhadohi,Handmade carpet of Bhadohi,No,150000,2500000,50-65%,10-16 months,8,"Bhadohi sits in the Mirzapur-Bhadohi carpet weaving cluster spanning 9 districts, with 2.2 million rural artisans and 16th-century Mughal-era weaving traditions. Raw materials—wool, silk, cotton—are sourced locally and regionally. The district is 100% export-oriented with established buyer networks in USA, Europe, Middle East, and Australia.",handmade-carpet-of-bhadohi-bhadohi
Uttar Pradesh,Bijnor,Wooden Crafts,No,150000,1000000,60-75%,10-16 months,,Bijnor has a centuries-old tradition of wood carving and inlay work passed down through generations of skilled artisans. The district's proximity to forest regions and established trade networks with Delhi and Lucknow create ideal conditions for sourcing quality wood and accessing metropolitan markets. The concentration of master craftspeople and established GI recognition make it the epicenter of India's decorative wooden crafts industry.,wooden-crafts-bijnor
Uttar Pradesh,Budaun,Zari and Zardozi,No,150000,500000,50-65%,12-18 months,5,"Budaun has a 400+ year legacy of zari-zardozi craftsmanship inherited from Mughal artisans. The district has direct access to raw materials (golden and silver threads, beads, sequins) imported through established supplier networks from China. The cluster in Bareilly area still retains approximately one lakh skilled artisans, though numbers have declined significantly.",zari-and-zardozi-budaun
Uttar Pradesh,Bulandshahar,Ceramic Product,No,150000,2500000,60-75%,10-18 months,8,"Bulandshahar's Khurja cluster sits 60km from Delhi with direct NH-119 access, making it India's largest pottery hub with 350 active units. The district has abundant clay deposits from the Yamuna basin, skilled artisans trained over generations, and proximity to Delhi-NCR buyer markets (₹1000+ Cr annual demand). Raw material cost here is 30-40% lower than competing centers.",ceramic-product-bulandshahar
Uttar Pradesh,Chandauli,Zari-Zardozi,No,150000,800000,50-65%,10-16 months,6,"Chandauli has 60 active Zari production units clustered in Bareilly with established supply chains for gold, silver, and metallic threads. The district sits in the heart of Uttar Pradesh's traditional textile corridor, with direct access to saree, salwar kameez, and lehenga manufacturers across North India. Artisans here have inherited Mughal-era embroidery techniques spanning over 500 years, creating a concentrated labor pool skilled in Zardozi Stitch, Gota Patti, and Chain Stitch methods.",zari-zardozi-chandauli
Uttar Pradesh,Chitrakoot,Wooden Toys and Wood Art Products,No,1175000,1173000,60-75%,12-14 months,8,"Chitrakoot sits 280 km from Allahabad and 92 km from Satna, with abundant local wood supply (Dudhi Sundari, Koraiya) and established artisan base practising the craft for generations. The cluster has trained workforce familiar with toy-making techniques, with access to raw materials like Lac, paint pigments, and construction materials produced locally or sourced from nearby Satna.",wooden-toys-and-wood-art-products-chitrakoot
Uttar Pradesh,Deoria,"Decorative Products,",No,180000,500000,52-68%,9-15 months,7,"Deoria has a established artisan base with access to cotton, silk, and jute raw materials from local suppliers and nearby textile markets. The district's proximity to Varanasi (80 km) provides direct access to high-end home decor buyers and export networks. Skilled labor costs remain 30-40% lower than metro clusters, enabling competitive margins on handcrafted items.",decorative-products-deoria
Uttar Pradesh,Etah,"Ankle Bells (Ghungroo), Bells and Brass Products",No,150000,850000,52-68%,10-16 months,7,"Etah has a 200+ year tradition of brass metalwork with concentrated artisan communities in multiple towns. Raw materials (brass sheets, copper) are sourced from Moradabad (60 km away) and local recyclers. The district's 833 villages provide a large labour pool with inherited skills in bell-making and brass finishing.",ankle-bells-ghungroo-bells-and-brass-products-etah
Uttar Pradesh,Etawah,Textile Products and Tailoring and Garment Embroidery,No,150000,2500000,60-75%,10-18 months,,"Etawah has a 300+ year legacy in textile weaving and embroidery with a concentrated cluster of skilled artisans. The district's geography and historical trade routes positioned it as a major textile hub in UP, with established supply chains for raw materials and an existing exporter ecosystem.",textile-products-and-tailoring-and-garment-embroidery-etawah
Uttar Pradesh,Farrukhabad,Farrukhabad Prints,No,200000,1500000,50-65%,10-16 months,8,"Farrukhabad sits in the Indo-Gangetic plains with direct access to cotton and silk raw materials from UP's textile corridor. The district has 300+ years of block-making and block-printing tradition with thousands of trained artisans concentrated in the old city. Delhi, Lucknow, and Mumbai fashion buyers are 6-8 hours away by road, giving instant market access.",farrukhabad-prints-farrukhabad
Uttar Pradesh,Fatehpur,Bedsheets,No,500000,5000000,50-65%,10-16 months,,Fatehpur has a strong tradition of hand-loom and power-loom textile production with skilled artisans trained over generations. The district's proximity to major cotton suppliers in UP and established weaving clusters provide cost-effective raw material access and existing infrastructure. Low labor costs combined with traditional craftsmanship make it ideal for producing premium bedsheets at competitive prices.,bedsheets-fatehpur
Uttar Pradesh,Firozabad,Firozabad Glass,No,250000,2500000,50-65%,10-16 months,8,"Firozabad sits 40 km south of Agra and 250 km from Delhi with 200+ years of glass manufacturing heritage. The district has 150+ production units employing 6 lakh workers, with integrated raw material supply chains and established export infrastructure. Half of all production is exported; Sri Lanka alone imported ₹100 crore in FY 2021-22.",firozabad-glass-firozabad
Uttar Pradesh,Gautam Buddh Nagar,Readymade Garments,No,250000,1500000,50-65%,10-16 months,8,"Gautam Buddh Nagar sits in the National Capital Region with direct access to Delhi's wholesale apparel markets and retail chains. The district has 2500 established factories providing supplier networks, trained labor pools, and proven logistics. Raw material suppliers (fabrics, trims, buttons) are concentrated in nearby Delhi and Noida, reducing sourcing time to hours rather than days.",readymade-garments-gautam-buddh-nagar
Uttar Pradesh,Ghaziabad,Engineering goods,No,250000,5000000,35-50%,12-18 months,9,"Ghaziabad sits 30km east of Delhi with direct access to NH1 and railway networks, making it India's primary industrial base for precision engineering. The district has 1,200+ registered engineering units concentrated in Loni, Mohan Nagar, and Dasna industrial areas with established supply chains for raw steel, aluminium, and electronic components. Buyers include Maruti Suzuki, Hero Honda, Bosch, and construction majors who source directly from the cluster.",engineering-goods-ghaziabad
Uttar Pradesh,Ghazipur,Ghazipur Wall Hangings,No,120000,450000,60-75%,10-16 months,7,"Ghazipur sits on the Ganges with direct access to jute and cotton from eastern UP and Bihar suppliers. Nearly 60 villages across 5 named clusters—Paharpur Kala Gazipur, Rasulpur, Kolwar, Dhuvarjun, Saidpur—house trained artisans in handloom weaving. Proximity to Varanasi (40 km) creates buyer traffic from domestic and international tourists.",ghazipur-wall-hangings-ghazipur
Uttar Pradesh,Gonda,Food Processing (Pulses),No,1200000,8500000,45-60%,10-16 months,,"Gonda has a 50+ year legacy of pulse milling with established clusters in Gonda town and Mankapur. The district's agricultural hinterland supplies high-quality moong, chana, and arhar directly to mills, reducing procurement costs. Proximity to major grain markets in Lucknow and established trade networks ensure consistent raw material availability and pan-India distribution reach.",food-processing-pulses-gonda
Uttar Pradesh,Gorakhpur,Gorakhpur Terracotta,No,150000,500000,55-70%,10-16 months,7,"Gorakhpur's Aurangabad village in Bhathat block sits on clay-rich ponds that supply natural 'Kabis' clay—the raw material for terracotta. More than 200 households practise this craft with active women participation. The district is being developed as a Special Tourist Village under a ₹1 Crore state project, creating direct buyer footfall.",gorakhpur-terracotta-gorakhpur
Uttar Pradesh,Hamirpur,Shoes,No,180000,800000,50-65%,10-16 months,7,"Hamirpur is located in Chitrakoot Dham Division at the confluence of Yamuna and Betwa rivers, providing access to water and raw leather supply routes from northern tanneries. Sumerpur cluster houses 400+ artisans specializing in handmade Jooti and leather shoes with 50+ years of continuous production tradition. The district is 240km from Delhi wholesale markets and 180km from Kanpur leather hub.",shoes-hamirpur
Uttar Pradesh,Hapur,Home Decorative Goods,No,250000,2000000,60-75%,10-16 months,,"Hapur has a 40+ year legacy as a textile manufacturing cluster with skilled artisans, established supply chains, and proximity to Delhi's retail markets. The district's traditional weaving expertise combined with modern production facilities makes it ideal for scaling home decorative goods. Access to raw material suppliers in Ludhiana and Tiruppur via established trade routes keeps costs competitive.",home-decorative-goods-hapur
Uttar Pradesh,Hardoi,Handloom,No,180000,850000,60-75%,10-16 months,7,"Hardoi has a 300+ year handloom weaving tradition concentrated in clusters like Madhogarh and surrounding areas. Raw materials—cotton, silk, and wool—are sourced locally and from regional suppliers in UP. The district has access to Delhi, Lucknow, and Kanpur markets, while being part of India's handloom export ecosystem valued at $12.03 billion annually.",handloom-hardoi
Uttar Pradesh,Hathras,Hing (Asafoetida),No,300000,1200000,50-65%,10-16 months,8,"Hathras has established itself as India's primary processing and trading center for asafoetida despite raw material being imported from Iran, Afghanistan, and now Uzbekistan. The district's strategic location on NH-119 connecting Delhi, Agra, and Mathura, combined with historical trader networks and existing supply chain infrastructure, makes it the natural hub for hing refinement and distribution. Access to capital, warehousing, and established export-import networks gives Hathras a competitive advantage in processing and value-addition.",hing-asafoetida-hathras
Uttar Pradesh,Jalaun,Handmade Paper Art,No,150000,750000,60-75%,10-16 months,,Jalaun has a rich tradition of artisanal paper craftsmanship spanning generations with abundant local availability of natural fibers and plant-based materials. The district's skilled workforce and established cluster infrastructure make it uniquely positioned for scalable handmade paper production. Strong government support through ODOP status and GI certification provides market credibility and export advantages.,handmade-paper-art-jalaun
Uttar Pradesh,Jaunpur,Woollen Carpets (Dari),No,350000,2500000,60-75%,12-18 months,,Jaunpur has a deep-rooted tradition of carpet weaving spanning centuries with a concentrated cluster of skilled artisans in Gopalpur and Bhitauli areas. The district's access to high-quality wool from local sheep herds and historical mastery of natural dyeing techniques make it uniquely positioned to produce premium Dari carpets with authentic provenance.,woollen-carpets-dari-jaunpur
Uttar Pradesh,Jhansi,Soft Toys,No,300000,1200000,60-75%,10-16 months,,"Jhansi has an established manufacturing cluster with skilled artisans, low labor costs, proximity to Delhi's massive wholesale market, and existing supply chains. The district's textile and craft heritage, combined with established toy-making units, makes it ideal for scaling soft toy production at competitive prices.",soft-toys-jhansi
Uttar Pradesh,Kannauj,Kannauj Perfume,No,150000,2500000,60-75%,6-12 months,8,"Kannauj lies in western Uttar Pradesh with direct access to jasmine, rose, and floral raw materials from local gardens and surrounding regions. The district hosts 350-500 perfume production units concentrated in clusters like Perfume Park, creating an ecosystem of suppliers, artisans, and export channels. Proximity to Agra Expressway, Delhi markets (240 km), and international logistics via Lucknow airport enables both domestic and export sales.",kannauj-perfume-kannauj
Uttar Pradesh,Kanpur Dehat,Zinc Utensils,No,180000,1000000,50-65%,10-16 months,7,"Kanpur Dehat has a 200+ year legacy of zinc working inherited from Kanpur city's industrial base. Raw materials (zinc sheets, tin) are sourced from Kanpur and regional suppliers within 40km. The district has 400+ registered zinc utensil artisans and micro-units concentrated in Raniya and Shivli tehsils, with direct access to wholesale markets in Kanpur city and institutional buyers across UP.",zinc-utensils-kanpur-dehat
Uttar Pradesh,Kanpur Nagar,Leather Products,No,250000,1500000,60-75%,9-15 months,8,Kanpur Nagar has 400+ years of leather production history with established supply chains for raw hides from livestock markets across North India. The Jajmau cluster has 2000+ artisans and micro-units producing finished leather goods. Proximity to major leather tanneries and direct access to cattle hides makes raw material costs 15-20% cheaper than competing clusters.,leather-products-kanpur-nagar
Uttar Pradesh,Kasganj,Zari Zardozi,No,150000,500000,60-75%,10-16 months,7,"Kasganj has a 300+ year tradition of Zari Zardozi with skilled artisan families concentrated in city clusters. Raw materials — silk threads, metallic wires (zari), sequins, beads — are sourced from Delhi, Lucknow, and local suppliers within 200km. Buyers span bridal wear manufacturers in Delhi NCR, export markets in Middle East/EU, and institutional buyers for temple/mosque fabrics.",zari-zardozi-kasganj
Uttar Pradesh,Kaushambi,Food Processing- Banana,No,500000,2500000,50-65%,10-16 months,,"Kaushambi has a well-established banana cultivation ecosystem across its fertile plains, providing consistent supply of quality raw bananas. The district's agricultural infrastructure, proximity to major trade corridors, and existing food processing units make it ideal for scaling banana-based products. Government support through ODOP and state food processing schemes further strengthen the viability of banana processing businesses here.",food-processing--banana-kaushambi
Uttar Pradesh,Kushinagar,Banana Fiber Products and Banana Products,No,150000,500000,60-75%,10-16 months,8,"Kushinagar has abundant banana cultivation providing raw material within 20km radius of Tamkuhi Raj cluster. Over 25 lakh people engage in this sector, creating a dense artisan ecosystem with established export channels to Japan and Singapore. The district benefits from NH-28 connectivity and proximity to Nepal border, making it a natural hub for banana fiber handicrafts.",banana-fiber-products-and-banana-products-kushinagar
Uttar Pradesh,Lakhimpur Kheri,Tribal craft,No,150000,800000,60-75%,10-16 months,6,"Lakhimpur Kheri sits in the fertile Indo-Gangetic region with dense forest cover (Dudhwa National Park) and tribal communities concentrated in Bijua, Nighasan, and Kheri blocks. Raw materials like bamboo, forest wood, and natural fibers are locally available. The district has an established artisan base among tribal populations, particularly Tharus and Korwas, with proximity to Delhi-NCR markets (300km) and UP's craft hubs.",tribal-craft-lakhimpur-kheri
Uttar Pradesh,Lalitpur,Zari Silk Sarees,No,200000,800000,50-65%,10-16 months,7,"Lalitpur sits on National Highway 44 with established artisan clusters producing 25,000-30,000 sarees annually using traditional looms. Raw materials (silk threads and zari) are sourced through active supplier networks tied to the 250-275 craftsmen working in the district. Proximity to wedding markets in northern India — where 70% of women prefer traditional silk sarees for trousseau — creates direct buyer access within 500 km.",zari-silk-sarees-lalitpur
Uttar Pradesh,Lucknow,Lucknow Chikan Craft & Lucknow Zardozi,No,150000,5000000,50-65%,10-18 months,8,"Lucknow has 500+ years of Chikan tradition concentrated in Chowk and Daliganj clusters with direct access to muslin, silk, and organza suppliers. Nearly five lakh artisans and workers form an integrated supply chain from raw material to finished garment. Proximity to Delhi, Mumbai, and international air cargo (Lucknow Airport 12km) enables rapid export to Gulf and European buyers.",lucknow-chikan-craft-lucknow-zardozi-lucknow
Uttar Pradesh,Maharajganj,Furniture,No,500000,2000000,50-65%,10-16 months,,"Maharajganj has a centuries-old tradition of wood-based handicrafts, with concentrated artisan clusters in towns like Jalalpur and Koraon. The region's proximity to timber suppliers in Nepal and availability of skilled labor has made it a natural hub for handcrafted furniture. Strong local demand from residential and commercial sectors across North India provides immediate market access.",furniture-maharajganj
Uttar Pradesh,Mahoba,Gaura Stone Craft,No,150000,500000,60-75%,10-16 months,7,"Mahoba sits on deposits of premium Gaura sandstone and Marble in the Bundel region, with a 1000+ year old artisan community (Gaurahari caste) concentrated in the town. The cluster serves pan-India temple markets, domestic spiritual buyers, and increasingly exports to Southeast Asia and Western spiritual wellness markets.",gaura-stone-craft-mahoba
Uttar Pradesh,Mainpuri,Tarkashi Art,No,150000,800000,60-75%,10-16 months,,"Mainpuri has been the seat of Tarkashi artistry for over 400 years, with hereditary artisan families perfecting the technique under Mughal patronage. The district has a concentrated cluster of skilled craftspeople and established supply chains for fine metal wires and base materials. The GI tag validates authenticity and enables premium positioning.",tarkashi-art-mainpuri
Uttar Pradesh,Mathura,Sanitary Fittings,No,350000,1200000,50-65%,10-16 months,8,"Mathura has 40+ years of sanitary fittings manufacturing expertise with established supplier networks for stainless steel, brass, and plastic raw materials sourced from local and regional vendors. The cluster is 60km from Delhi NCR (largest consumer market), with rail and highway connectivity enabling rapid distribution to pan-India construction and plumbing sectors. Over 2000+ micro and small enterprises operate here, supported by MSME clusters and access to skilled labor.",sanitary-fittings-mathura
Uttar Pradesh,Mau,Powerloom Textile,No,300000,1500000,50-65%,10-16 months,7,"Mau sits in eastern UP with direct access to cotton and synthetic fiber suppliers from across India. The district has an established artisan base and historical weaving tradition. Buyers from Delhi, Mumbai, and Surat actively source fabrics from local clusters.",powerloom-textile-mau
Uttar Pradesh,Meerut,Sports Products,No,500000,5000000,50-65%,10-16 months,,"Meerut has a 50+ year legacy in sports equipment manufacturing with established artisan clusters, skilled labor pools, and proximity to Delhi markets. The district has integrated supply chains for wood, leather, and synthetic materials, making it the natural choice for quality cricket and hockey equipment production at scale.",sports-products-meerut
Uttar Pradesh,Mirzapur,Carpets,No,250000,2000000,50-65%,12-18 months,8,"Mirzapur is the core production hub of the Mirzapur-Bhadohi-Varanasi carpet belt, home to 2 million artisans with inherited weaving skills. High-quality wool sourcing from Rajasthan and imported silk/cotton are readily available through established supplier networks. 85% of exports go directly to US and European markets, making buyer relationships accessible through cluster associations.",carpets-mirzapur
Uttar Pradesh,Moradabad,Moradabad Metal Craft,No,150000,800000,50-65%,10-16 months,8,"Moradabad has a 400-year-old metal craft ecosystem with established supply chains for raw brass, copper, and alloys. The district houses the largest concentration of brass workers and artisans in India, with direct access to metal scrap dealers and refined metal suppliers. International buyers have pre-existing relationships with Moradabad manufacturers across Europe, North America, and the Middle East.",moradabad-metal-craft-moradabad
Uttar Pradesh,Muzaffarnagar,Jaggery,No,150000,800000,50-65%,6-10 months,8,"Muzaffarnagar sits in the Indo-Gangetic plains with direct access to sugarcane cultivation across 200+ trading units. The district's 2,991 sq km area is surrounded by sugarcane farms supplying raw material year-round. Buyers across North and West India source directly from the world's largest jaggery wholesale market located here, eliminating middleman friction.",jaggery-muzaffarnagar
Uttar Pradesh,Pilibhit,Flute and Wooden Products,No,150000,1500000,60-75%,9-16 months,8,"Pilibhit sits in the Indo-Gangetic Plain with direct access to Narkul bamboo forests, the only source of this specific bamboo species used for flute-making. A 55-person artisan base in the primary factory cluster, multi-generational family expertise, and established export routes to America, France, London, and Pakistan create a ready ecosystem for new entrants.",flute-and-wooden-products-pilibhit
Uttar Pradesh,Pratapgarh,Aamla Products,No,180000,3500000,60-75%,10-16 months,7,"Pratapgarh is the largest aonla-growing region in UP with over 15,000 hectares under cultivation and ideal agro-climatic conditions for the fruit. The district has a 200+ year tradition of aonla processing using heritage methods, with raw material availability within 10-50 km of any processing unit. Proximity to Lucknow (150 km), Delhi (400 km), and UP's consumer markets creates direct buyer access.",aamla-products-pratapgarh
Uttar Pradesh,Prayagraj,Moonj products,No,50000,300000,60-75%,9-15 months,8,"Prayagraj's Naini and Mahewa clusters specialize in moonj products because sarpat grass (source of moonj) grows naturally in the region's wetlands and riverine areas. The craft has 60-70 years of documented practice with established artisan networks, particularly among women self-help groups. National and international buyers already source from here via Amazon, Alibaba, and direct B2B channels.",moonj-products-prayagraj
Uttar Pradesh,Raebareli,Wood Work,No,150000,1200000,60-75%,10-16 months,,Raebareli has a strong tradition of wood carving passed down through generations with abundant locally-sourced timber and established artisan clusters. The district's skilled workforce and proximity to raw material suppliers make it an ideal hub for scaling wooden handicrafts production. Government support through handicraft ministries has fostered a conducive ecosystem for wood-work enterprises.,wood-work-raebareli
Uttar Pradesh,Rampur,"Applique Work along with Patch Work,Zari Patch work, and Mentha",No,150000,800000,60-75%,9-16 months,8,"Rampur has a 500+ year tradition of textile embellishment work inherited from Nawabi court patronage. The district sits adjacent to mentha-growing regions of UP (Lucknow, Barabanki) providing direct raw material access. A concentrated artisan base of 5,000+ skilled workers operates in clusters around the city center, with easy access to Delhi and Lucknow buyer markets via NH-119.",applique-work-along-with-patch-workzari-patch-work-and-mentha-rampur
Uttar Pradesh,Saharanpur,Saharanpur Wood Craft,No,150000,5000000,55-70%,8-14 months,8,"Saharanpur sits at the foothills of the Himalayas with direct access to Sheesham, Mango, Teak, and Acacia wood from northern forests. The cluster spans 1.5 lakh artisans across 400 manufacturing units, making it India's largest wooden handicraft ecosystem with ready suppliers, skilled craftspeople, and established export networks to USA, UK, UAE, and Europe already in place.",saharanpur-wood-craft-saharanpur
Uttar Pradesh,Sambhal,Handicrafts - Horn Bone,No,250000,1500000,60-70%,10-16 months,8,"Sambhal has 25,000 skilled artisans concentrated in Sarai Tarin cluster with direct access to raw buffalo and cattle horns. The district sits on cattle-belt supply chains and has established export networks to America, Europe, and Gulf countries. State and central govt support includes Common Facility Centre funded with ₹10 crore by CM Yogi Adityanath.",handicrafts---horn-bone-sambhal
Uttar Pradesh,Sant Kabir Nagar,Brass Utensils,No,250000,2000000,60-75%,10-16 months,,Sant Kabir Nagar has a centuries-old brass crafting tradition rooted in the region's cultural heritage and spiritual significance. The district's artisan community has perfected the techniques of hand-hammering and engraving brass into functional art pieces. Access to skilled labor and established supply chains for brass ingots make it the natural hub for this craft.,brass-utensils-sant-kabir-nagar
Uttar Pradesh,Shahjahanpur,Zari and Zardozi,No,150000,500000,60-75%,10-16 months,8,"Shahjahanpur sits in a historic zari embroidery zone spanning eight districts (Lucknow, Unnao, Hardoi, Sitapur, Barabanki, Lakhimpur Kheri, Rae Bareli, Sultanpur) with 1.75 lakh skilled artisans. Raw materials—golden and silver threads, beads, sequins, brocade, silk, velvet—are sourced locally from Lucknow and Bareilly suppliers. The craft traces its descent from the Mughal era and has proven export markets in Israel and ethnic garment centers.",zari-and-zardozi-shahjahanpur
Uttar Pradesh,Shamli,Rim and Axle and Iron Work,No,350000,1500000,45-60%,10-16 months,8,"Shamli has 322 villages and a concentrated cluster of iron and steel artisans who have specialized in axle and rim manufacturing for 40+ years. Raw materials (steel, iron, metal) are sourced locally and from nearby NCR industrial zones. Buyers include tractor and trailer manufacturers across North India, with direct access to Gurugram and Delhi vehicle assembly hubs.",rim-and-axle-and-iron-work-shamli
Uttar Pradesh,Shravasti,Tribal craft and Furniture,No,250000,800000,50-65%,10-16 months,6,"Shravasti has 34,238 hectares of forest area supplying 97% of furniture wood locally, eliminating raw material supply chain risk. The Tharu tribe community has centuries of woodcraft expertise embedded in local clusters. Furniture is integral to ceremonial life across the district, ensuring steady local demand.",tribal-craft-and-furniture-shravasti
Uttar Pradesh,Siddharthnagar,Kalanamak Rice,No,350000,1200000,50-65%,9-16 months,8,"Siddharthnagar's geography between 27°28′ north latitude and 82°45′ to 83°10′ east longitude creates ideal soil and climate for Kalanamak cultivation. The district has 2,639 km² of fertile Indo-Gangetic plain with high groundwater, enabling consistent rice production. Raw material supply is immediate — farmers in the district still grow this variety and hybrid improved strains.",kalanamak-rice-siddharthnagar
Uttar Pradesh,Sitapur,Carpets (Dari),No,180000,800000,50-65%,10-16 months,8,"Sitapur is located in central Uttar Pradesh with direct access to wool supply chains from Rajasthan and Punjab. The district has a concentrated cluster of 2,000+ carpet-weaving units employing over 35,000 artisans, many with 3-4 generations of loom expertise. Major buyers are concentrated in Delhi, Mumbai, and direct export corridors to the US market.",carpets-dari-sitapur
Uttar Pradesh,Sonbhadra,Carpets,No,350000,2500000,60-75%,12-18 months,,"Sonbhadra has a deep-rooted carpet weaving tradition spanning generations, with skilled artisans trained in intricate hand-knotting techniques. The district's access to quality wool and cotton, combined with a large pool of experienced weavers, makes it naturally suited for premium carpet production. Historical presence of carpet clusters and community knowledge transfer ensure consistent quality and design authenticity.",carpets-sonbhadra
Uttar Pradesh,Sultanpur,Moonj Products,No,50000,500000,60-75%,9-15 months,7,"Sultanpur sits in the Gomti River and Yamuna bank region where wild moonj grass grows naturally in the Terai area — the raw material is free to harvest in Oct-Nov. Over 500 women artisans, especially from Nishad community, are concentrated in Mahewa, Dandi, Badoka, Deshi Deoria, Bhatni, and Sonughat villages. Buyers span Delhi-NCR, institutional buyers (schools, offices, hotels), and export markets globally.",moonj-products-sultanpur
Uttar Pradesh,Unnao,Zari Zardozi,No,150000,500000,60-75%,10-16 months,5,"Unnao's Zari Zardozi cluster is concentrated in Bareilly with one lakh active artisans trained in generational techniques. Raw materials — silver and golden threads, bullion, beads, spangles, sequins — are sourced locally and from nearby textile hubs. Proximity to Delhi, Lucknow and Kanpur ensures direct access to wedding, ceremonial and institutional buyers.",zari-zardozi-unnao
Uttar Pradesh,Varanasi,Silk Products,No,150000,5000000,50-65%,10-16 months,8,"Varanasi has 400+ years of silk weaving tradition concentrated in Godaulia, Bhelpura, and Chinnagar clusters with direct access to mulberry silk and high-quality raw silk from Tamil Nadu suppliers. The district has 5000+ active looms and 50,000+ artisans, with buyer proximity to Delhi, Mumbai, and London through existing wholesale networks. GI certification in 2009 provides legal protection and premium pricing across all channels.",silk-products-varanasi
Uttarakhand,Almora,Bal Mithai,No,150000,800000,60-75%,10-16 months,8,Almora's high-altitude climate and proximity to Phalsima village ensures steady supply of pure milk solids (khoya) and premium ghee. The district has a 100+ year-old artisan base of confectioners who refined the Nepalese recipe into the modern Bal Mithai. Proximity to North India's festival markets and direct access to global buyers via Kumaoni merchant networks.,bal-mithai-almora
Uttarakhand,Bageshwar,Copper based Products,No,250000,1500000,60-75%,10-16 months,,Bageshwar has been a copper crafting hub for centuries with deep-rooted artisan communities who possess hereditary skills in copper beating and finishing. The region's proximity to raw material sources and a thriving local market of pilgrims and tourists visiting the sacred Bageshwar temple provides consistent demand. The district's cool climate and abundant water resources from the Gomti River support the traditional copper processing techniques.,copper-based-products-bageshwar
Uttarakhand,Chamoli,Nettle based product,No,450000,2500000,60-75%,10-16 months,,"Chamoli's high-altitude terrain (3000-4000m) provides ideal growing conditions for wild nettle plants with superior fiber quality. The district has 200+ years of indigenous knowledge in nettle harvesting and processing, with established artisan communities in Joshimath and Gopeshwar. Cold Himalayan climate naturally produces longer, stronger nettle fibers compared to plains regions.",nettle-based-product-chamoli
Uttarakhand,Champawat,Himalyan Honey,No,150000,1500000,60-75%,10-16 months,,"Champawat's high-altitude terrain (1200-2500m), dense forests with diverse flora, and cool climate create ideal conditions for high-quality honey production. The district has a centuries-old beekeeping tradition with natural apiaries and minimal industrial pollution, ensuring pure, potent honey.",himalyan-honey-champawat
Uttarakhand,Dehradun,Bakery,No,250000,1200000,50-65%,10-16 months,7,"Dehradun sits in the foothills with access to high-quality wheat, butter, and dairy from surrounding Uttarakhand farms. The city has 70+ years of continuous bakery tradition anchored by Elloras (est. 1953), creating a skilled artisan base and steady demand from both local population (1.68M) and year-round tourist inflow. Proximity to Delhi (240km) and Northern India's urban centers enables direct wholesale and D2C distribution.",bakery-dehradun
Uttarakhand,Haridwar,Jaggery,No,180000,850000,50-65%,9-16 months,7,"Haridwar sits in the Ganges belt with abundant water and nearby sugarcane farms in adjacent districts. The region has a 50+ year jaggery-making artisan base and direct access to Delhi, Noida, and Punjab wholesale markets. Sugarcane juice sourcing is year-round and locally cheap.",jaggery-haridwar
Uttarakhand,Nainital,Aipan Products,No,50000,300000,60-75%,9-14 months,7,"Nainital has 15 active Aipan artisans with deep cultural knowledge of the folk art form. Red and white mineral pigments are locally sourced from the Kumaon region. The district sits 6 hours from Delhi and is a migration hub — returned migrants from metros are primary buyers seeking cultural products, creating a built-in repeat customer base.",aipan-products-nainital
Uttarakhand,Pauri Garhwal,Herbal Products,No,350000,2500000,60-75%,10-16 months,,"Pauri Garhwal's high-altitude terrain (1200-3600m) provides ideal climatic conditions for growing medicinal herbs like Ashwagandha, Brahmi, Kutki, and Jatamansi. The district's rich biodiversity and traditional Ayurvedic knowledge systems make it naturally suited for herbal product manufacturing. Local farmer cooperatives and established supply chains support consistent raw material procurement.",herbal-products-pauri-garhwal
